date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,1,1,1,1,0,0
10/03/2020,0,1,0,1,0,0
11/03/2020,0,1,0,1,0,0
12/03/2020,0,1,0,1,0,0
13/03/2020,2,3,1,2,0,0
14/03/2020,0,3,0,2,0,0
15/03/2020,0,3,0,2,0,0
16/03/2020,2,5,2,4,0,0
17/03/2020,8,13,7,11,0,0
18/03/2020,0,13,0,11,0,0
19/03/2020,1,14,1,12,0,0
20/03/2020,1,15,1,13,0,0
21/03/2020,12,27,10,23,1,1
22/03/2020,5,32,5,28,0,1
23/03/2020,6,38,5,33,1,2
24/03/2020,29,67,27,60,0,2
25/03/2020,5,72,4,64,1,3
26/03/2020,2,74,2,66,0,3
27/03/2020,0,74,0,66,0,3
28/03/2020,11,85,9,75,1,4
29/03/2020,8,93,6,81,1,5
30/03/2020,13,106,8,89,3,8
31/03/2020,11,117,7,96,0,8
01/04/2020,31,148,29,125,0,8
02/04/2020,3,151,2,127,0,8
03/04/2020,15,166,9,136,3,11
04/04/2020,14,180,12,148,2,13
05/04/2020,16,196,14,162,0,13
06/04/2020,12,208,10,172,2,15
07/04/2020,13,221,7,179,2,17
08/04/2020,89,310,71,250,6,23
09/04/2020,33,343,19,269,4,27
10/04/2020,71,414,29,298,5,32
11/04/2020,58,472,26,324,9,41
12/04/2020,9,481,6,330,1,42
13/04/2020,5,486,0,330,0,42
14/04/2020,14,500,7,337,1,43
15/04/2020,18,518,10,347,2,45
16/04/2020,25,543,9,356,3,48
17/04/2020,43,586,23,379,1,49
18/04/2020,20,606,5,384,2,51
19/04/2020,10,616,6,390,0,51
20/04/2020,48,664,19,409,3,54
21/04/2020,29,693,8,417,1,55
22/04/2020,27,720,10,427,0,55
23/04/2020,34,754,10,437,3,58
24/04/2020,21,775,8,445,2,60
25/04/2020,18,793,6,451,0,60
26/04/2020,24,817,2,453,0,60
27/04/2020,7,824,2,455,1,61
28/04/2020,33,857,9,464,5,66
29/04/2020,21,878,4,468,1,67
30/04/2020,39,917,5,473,3,70
01/05/2020,63,980,9,482,2,72
02/05/2020,42,1022,2,484,0,72
03/05/2020,2,1024,1,485,0,72
04/05/2020,34,1058,4,489,0,72
05/05/2020,30,1088,1,490,1,73
06/05/2020,41,1129,0,490,2,75
07/05/2020,44,1173,0,490,1,76
08/05/2020,38,1211,0,490,1,77
09/05/2020,53,1264,0,490,2,79
10/05/2020,10,1274,0,490,1,80
11/05/2020,31,1305,0,490,1,81
12/05/2020,31,1336,0,490,0,81
13/05/2020,57,1393,0,490,1,82
14/05/2020,73,1466,0,490,0,82
