date,total_reported,accum_reported,total_recupered,accum_recupered,total_deceased,accum_deceased
01/03/2020,0,0,0,0,0,0
02/03/2020,0,0,0,0,0,0
03/03/2020,0,0,0,0,0,0
04/03/2020,0,0,0,0,0,0
05/03/2020,0,0,0,0,0,0
06/03/2020,0,0,0,0,0,0
07/03/2020,0,0,0,0,0,0
08/03/2020,0,0,0,0,0,0
09/03/2020,1,1,1,1,0,0
10/03/2020,0,1,0,1,0,0
11/03/2020,0,1,0,1,0,0
12/03/2020,0,1,0,1,0,0
13/03/2020,2,3,1,2,0,0
14/03/2020,0,3,0,2,0,0
15/03/2020,0,3,0,2,0,0
16/03/2020,2,5,2,4,0,0
17/03/2020,8,13,7,11,0,0
18/03/2020,0,13,0,11,0,0
19/03/2020,1,14,1,12,0,0
20/03/2020,1,15,1,13,0,0
21/03/2020,12,27,10,23,1,1
22/03/2020,5,32,5,28,0,1
23/03/2020,6,38,5,33,1,2
24/03/2020,29,67,27,60,0,2
25/03/2020,5,72,4,64,1,3
26/03/2020,2,74,2,66,0,3
27/03/2020,0,74,0,66,0,3
28/03/2020,11,85,9,75,1,4
29/03/2020,8,93,6,81,1,5
30/03/2020,13,106,8,89,3,8
31/03/2020,11,117,7,96,0,8
01/04/2020,31,148,29,125,0,8
02/04/2020,3,151,2,127,0,8
03/04/2020,15,166,9,136,3,11
04/04/2020,14,180,12,148,2,13
05/04/2020,16,196,14,162,0,13
06/04/2020,12,208,10,172,2,15
07/04/2020,13,221,7,179,2,17
08/04/2020,89,310,71,250,6,23
09/04/2020,33,343,19,269,4,27
10/04/2020,71,414,33,302,5,32
11/04/2020,58,472,26,328,9,41
12/04/2020,9,481,7,335,1,42
13/04/2020,5,486,0,335,0,42
14/04/2020,14,500,7,342,1,43
15/04/2020,18,518,10,352,2,45
16/04/2020,25,543,9,361,3,48
17/04/2020,43,586,25,386,2,50
18/04/2020,20,606,6,392,2,52
19/04/2020,10,616,6,398,0,52
20/04/2020,48,664,21,419,3,55
21/04/2020,29,693,9,428,1,56
22/04/2020,27,720,12,440,0,56
23/04/2020,34,754,10,450,3,59
24/04/2020,21,775,9,459,2,61
25/04/2020,18,793,6,465,0,61
26/04/2020,24,817,3,468,0,61
27/04/2020,7,824,2,470,1,62
28/04/2020,33,857,10,480,5,67
29/04/2020,21,878,5,485,1,68
30/04/2020,39,917,7,492,3,71
01/05/2020,63,980,10,502,2,73
02/05/2020,42,1022,2,504,0,73
03/05/2020,2,1024,1,505,0,73
04/05/2020,34,1058,7,512,0,73
05/05/2020,30,1088,1,513,1,74
06/05/2020,41,1129,0,513,2,76
07/05/2020,44,1173,0,513,1,77
08/05/2020,38,1211,0,513,1,78
09/05/2020,53,1264,0,513,2,80
10/05/2020,10,1274,0,513,1,81
11/05/2020,31,1305,0,513,1,82
12/05/2020,31,1336,0,513,0,82
13/05/2020,57,1393,0,513,2,84
14/05/2020,73,1466,0,513,1,85
15/05/2020,40,1506,0,513,0,85
16/05/2020,0,1506,0,513,0,85
